fast_period,slow_period,total_return,cagr,max_drawdown,ann_vol,sharpe,sortino,calmar,n_entries,n_exits,n_flips,n_round_trips,avg_hold_bars,median_hold_bars,turnover,round_trip_bps,trend_period,lag
34,83,1.3162247002911873,0.05226239293181534,-0.2091524954632058,0.13149781691331766,0.45309992320411013,0.4161125947711369,0.24987697524751437,3167,3166,168,3166,64.8986422481844,28.0,0.01671935599517648,2.0,200,1
37,78,1.3863664961483666,0.05416808029257658,-0.2168538398911114,0.1308827339017014,0.4684373786658982,0.42867394266848674,0.24979073610029662,3113,3112,158,3112,65.58978477353035,29.0,0.016398456674831214,2.0,200,1
35,60,1.3123245548553775,0.05215484535131232,-0.20892994175445967,0.13191734633752375,0.4513099510072945,0.4084481688913667,0.24962839176304447,3355,3355,211,3355,60.33561847988077,28.0,0.01788010900548788,2.0,200,1
35,68,1.6425166306565155,0.06070713841822095,-0.24345396407369102,0.13249272080885685,0.5110186180387131,0.46813715892550545,0.24935777344683335,3267,3266,208,3266,62.71655953474135,29.0,0.017421323258431754,2.0,200,1
35,66,1.659057358211672,0.06110864404878136,-0.2451812538672552,0.13271798871034995,0.5132276098902481,0.4690900101785966,0.24923864726569386,3285,3285,202,3285,62.15555555555556,28.0,0.01748399890693669,2.0,200,1
40,64,1.5359157364011917,0.05806144221318399,-0.23297051051890383,0.13134181673756246,0.49532732984103656,0.4492490622734421,0.2492222817551526,3172,3171,184,3171,63.483921815889026,29.0,0.016824651084664775,2.0,200,1
33,65,1.4154318641419867,0.05494238035849186,-0.22058181111708075,0.1319861152887068,0.47118666811269994,0.42772711214106024,0.24907937821459566,3329,3329,203,3329,60.780714929408234,27.0,0.017709631241554457,2.0,200,1
34,65,1.4332873298162223,0.05541372071614359,-0.22265024986391146,0.13190843469028896,0.4747724434817173,0.43102482367564904,0.24888236483010293,3313,3313,195,3313,60.98249320857229,27.0,0.01758929399642498,2.0,200,1
38,73,1.5883591781981652,0.05937581089123123,-0.23912233753833967,0.13095858881911845,0.5058735773090922,0.4623339779497132,0.24830725352754304,3121,3120,172,3120,65.43255366869593,29.0,0.0165087658161999,2.0,200,1
31,70,1.5994521270906117,0.059650620967919954,-0.2403303728272379,0.13261517732504022,0.5031574298351603,0.45944804497591785,0.2482025899023589,3332,3332,201,3332,61.26140456182473,27.0,0.01771464529343485,2.0,200,1
34,81,1.4204831001859768,0.0550760516651847,-0.22307997254533107,0.1315337718776393,0.47331365521568913,0.43460506935364,0.2468892704117262,3170,3169,180,3169,64.7788643533123,28.0,0.016794566773382404,2.0,200,1
34,80,1.6194556724001479,0.06014340418850317,-0.2438083935600065,0.13128535700729338,0.5104565109519804,0.4689320577014434,0.24668307481260107,3168,3167,167,3167,64.85700757575758,28.0,0.01671935599517648,2.0,200,1
37,60,1.3455525633298784,0.0530657103344927,-0.2151757018668441,0.1318081292175257,0.4581379853875838,0.4137938622538146,0.2466157185690559,3291,3291,190,3291,61.19416590701914,28.0,0.017453914595654322,2.0,200,1
39,65,1.5100845556178024,0.057404632432429104,-0.23324986933068803,0.13151281331545178,0.49013245758090457,0.4453500076052675,0.24610788677889534,3186,3185,187,3185,63.41023226616447,28.5,0.016909889966631484,2.0,200,1
31,69,1.6583766783507614,0.061092167735235625,-0.24838228517539107,0.13239686089598568,0.5140367127074558,0.4682452090855721,0.24596024507986305,3340,3340,200,3340,60.81706586826348,27.0,0.017749743656597615,2.0,200,1
36,59,1.2764038143109682,0.051156230414888704,-0.20869075408713655,0.13175009090734444,0.44450832759439673,0.40159377032285976,0.24512935725714508,3343,3343,210,3343,60.36793299431648,28.0,0.017814926331042747,2.0,200,1
39,57,1.3076224913774759,0.05202495787869155,-0.21225532279730241,0.13158546573383748,0.45117676338341617,0.4074216640491599,0.24510555114970592,3293,3293,188,3293,61.19374430610386,28.0,0.017453914595654322,2.0,200,1
39,72,1.5408848741711596,0.05818707139000301,-0.23742542825890234,0.13086637901221676,0.49755841504996867,0.45393873135552393,0.24507514555918788,3097,3096,174,3096,65.72618663222474,29.0,0.016398456674831214,2.0,200,1
29,69,1.4417305092150365,0.055635469564315976,-0.22706366846906223,0.13313601513102902,0.47319676031419355,0.4319615252658174,0.2450214512054199,3407,3407,234,3407,60.25183445846786,27.0,0.01825616289651749,2.0,200,1
36,75,1.5349110582366214,0.05803601395356872,-0.23693118698778814,0.131383542388545,0.49503043219480636,0.4529858638416104,0.2449488169599218,3180,3179,190,3179,64.45471698113208,28.0,0.0168948478109903,2.0,200,1
34,82,1.3225046740702942,0.052435207974721454,-0.21413779879193962,0.13148821455364643,0.45437250541101054,0.41750759290384676,0.2448666618903116,3157,3156,180,3156,65.15457713018688,28.0,0.01672938409893727,2.0,200,1
30,71,1.6391013001752093,0.06062394153686412,-0.24773289480851712,0.13260996334166358,0.5100951854342227,0.46603788799903967,0.2447149442294405,3347,3347,216,3347,61.00806692560502,27.0,0.017865066849846695,2.0,200,1
35,61,1.3517545605211376,0.05323437957346,-0.217654321912363,0.13174610575846213,0.4595091254546473,0.4158766982819513,0.24458223069374405,3336,3336,204,3336,60.64988009592326,28.0,0.017749743656597615,2.0,200,1
38,58,1.292095161256749,0.051594265520584104,-0.21110310717804748,0.13163442686346818,0.447947740442212,0.40412189225989453,0.24440315545459376,3291,3291,192,3291,61.23731388635673,28.0,0.017463942699415112,2.0,200,1
40,62,1.6444119796337229,0.060753265233086884,-0.24878534562301768,0.13204703973688597,0.512626568452387,0.466928340233808,0.2441995330590966,3204,3204,192,3204,63.267478152309614,29.0,0.01702772018582076,2.0,200,1
